person_id,first_name,last_name,date_of_birth,gender,nationality,occupation,employment_status,declared_monthly_income,income_currency,city,region,country,phone_hash,address_hash,created_at
P000001,Eyerusalem,Nolawi,1995-03-17,F,Ethiopian,teacher,Employed,14434,ETB,Harar,Harari,Ethiopia,10d5e05aac17aaf5,287e5efd0be46aee,2023-11-06T06:55:32.017274
P000002,Wossen,Fekre-Selasie,1988-09-01,M,Ethiopian,unemployed,Unemployed,2277,ETB,Addis Ababa,Addis Ababa,Ethiopia,73032be2333adb37,e783619a6ffacc07,2023-05-06T22:04:58.210646
P000003,Tigist,Theodros,1994-04-13,F,Ethiopian,government_employee,Employed,3814,ETB,Addis Ababa,Addis Ababa,Ethiopia,,485dcf345ae985f5,2023-01-16T14:49:26.005925
P000004,Samrawit,Fasil,1985-12-24,F,Ethiopian,cashier,,7198,ETB,Gondar,Amhara,Ethiopia,66ae74e8ed4ff590,b105bc02ddaf5ff0,2025-07-02T11:16:19.338095
P000005,Tekeste,Fikru,1965-05-28,M,Ethiopian,farmer,Self-Employed,7868,ETB,Nekemte,Oromia,Ethiopia,c5b3696d28511fe6,1b57222729899b22,2022-11-08T01:33:51.952889
P000006,Kelemua,Taye,1974-01-24,F,Ethiopian,ngo_worker,Employed,22004,ETB,Hawassa,Sidama,Ethiopia,44f101ca438654ea,75ed5e2293dacaf3,2023-11-10T18:00:58.286253
P000007,Betelhem,Henok,1979-08-29,F,Ethiopian,cashier,Employed,17101,ETB,Hawassa,Sidama,Ethiopia,c891c4b0b85bbe1f,,2022-03-11T09:08:07.347135
P000008,Menna,Khalid,1994-06-15,F,Ethiopian,student,,2516,ETB,Addis Ababa,Addis Ababa,Ethiopia,360b87e290479948,6e81d5600ab9d6ec,2024-11-23T10:31:54.000737
P000009,Moges,Wasihun,1981-04-18,M,Ethiopian,freelancer,Self-Employed,11075,ETB,Addis Ababa,Addis Ababa,Ethiopia,a6cd60a186c08811,79b5ac6f66691ad2,2025-10-28T13:31:00.893377
P000010,Nebyat,Paulos,2006-03-29,M,Ethiopian,software_engineer,Employed,23495,ETB,Adama,Oromia,Ethiopia,c3c00b5bfbd56d09,,2022-07-27T22:52:33.053172
P000011,Gashaw,Abdu,1984-04-16,M,Ethiopian,security_guard,Employed,14544,ETB,Dire Dawa,Dire Dawa,Ethiopia,154519f6fa5917b2,e6edaa6dd7e49ca4,2025-12-25T04:21:07.649909
P000012,Debritu,Fasil,2007-08-29,F,Ethiopian,business_owner,Self-Employed,69381,ETB,Gondar,Amhara,Ethiopia,11afb6ba93f7daa5,b0becded7df77211,2023-03-22T08:08:57.651027
P000013,Yewbdar,Shifferaw,2002-07-19,F,Ethiopian,freelancer,Self-Employed,23517,ETB,Addis Ababa,Addis Ababa,Ethiopia,35343afd585a1a63,fd08dd654a9f9721,2023-12-10T15:18:45.313976
P000014,Amsale,Beteab,1986-08-23,F,Ethiopian,freelancer,Self-Employed,14371,ETB,Addis Ababa,Addis Ababa,Ethiopia,86b9d0d5c022e139,e43f3b4b22f6aa9d,2024-11-01T22:01:06.059318
P000015,Ayele,Khalid,1998-07-16,M,Other,security_guard,Employed,4568,ETB,Addis Ababa,Addis Ababa,Ethiopia,f7a62682c06a06eb,dc3bb6db8e7fcb97,2023-10-25T11:38:57.434154
P000016,Tamene,Mulugeta,2006-09-24,M,Ethiopian,lawyer,Employed,36754,ETB,Addis Ababa,Addis Ababa,Ethiopia,f3e276ed52ba5e11,e7a138bddf898cc6,2023-10-06T01:51:56.215609
P000017,Messeret,Girmachew,1975-12-11,F,Ethiopian,accountant,Employed,18673,ETB,Addis Ababa,Addis Ababa,Ethiopia,0524cc1a4cd619db,b663e4d5be6366b5,2022-07-08T13:02:52.733235
P000018,Chebude,Getnet,1997-04-04,M,Ethiopian,business_owner,Self-Employed,27546,ETB,Addis Ababa,Addis Ababa,Ethiopia,2f0e990084a099ec,,2024-10-05T21:32:48.093080
P000019,Selam,Alex,1983-08-18,F,Ethiopian,freelancer,Self-Employed,20315,ETB,Addis Ababa,Addis Ababa,Ethiopia,0c2c5fdc77a248e9,4d8d7e703cdd9882,2025-02-05T10:49:50.922098
P000020,Abebech,Matheos,1980-08-08,F,Ethiopian,driver,Employed,3146,ETB,Adama,Oromia,Ethiopia,fc90b5dc35d3952c,324228379d2a9e38,2025-03-27T05:20:19.759522
