transaction_id,timestamp,sender_account_id,receiver_account_id,amount,currency,amount_etb,transaction_type,channel,device_id,city,country,ip_hash,reference_id,invoice_id,status
TX00000001,2022-08-30T10:57:42.161445,ACC0014605,ACC0015484,125,ETB,125,Transfer,Internet Banking,DEV0086144,Addis Ababa,Ethiopia,5ca6608165454ecd,,INV0144790,Completed
TX00000002,2025-09-15T11:16:10.645703,ACC0111271,ACC0065284,50,GBP,3600,Payment,Mobile Banking,DEV0059264,Hawassa,Ethiopia,e8e58c4373ceecdd,REF00000002,INV0117424,Completed
TX00000003,2023-09-06T13:26:28.362585,ACC0081559,ACC0081242,92948,ETB,92948,Transfer,Internet Banking,DEV0006224,Mekelle,Ethiopia,77d441ed79eccd53,,INV0071115,Completed
TX00000004,2024-09-28T05:29:31.713985,ACC0113051,ACC0018164,1155,USD,66412,Transfer,Internet Banking,DEV0083646,Addis Ababa,Ethiopia,e8796fc2adf5e048,REF00000004,,Completed
TX00000005,2023-04-12T08:16:58.260144,ACC0064697,ACC0125662,929,ETB,929,Deposit,ATM,DEV0040700,Addis Ababa,Ethiopia,55b2d7f81ae224e1,,INV0000175,Completed
TX00000006,2024-12-17T14:32:51.356241,ACC0069778,ACC0126862,108274,ETB,108274,Transfer,Internet Banking,,Dire Dawa,Ethiopia,ae96b1af880b7a6d,,,Completed
TX00000007,2024-10-19T11:30:26.524642,ACC0017150,ACC0096721,43271,ETB,43271,Deposit,Internet Banking,DEV0077808,Hawassa,Ethiopia,6b57102483ccfe21,REF00000007,,Completed
TX00000008,2022-06-18T11:56:27.220001,ACC0015559,ACC0019751,896,ETB,896,Transfer,ATM,DEV0076660,Arba Minch,Ethiopia,,,INV0188531,Completed
TX00000009,2024-01-21T16:44:55.386152,ACC0011795,ACC0051603,56931,USD,3273532,Transfer,Agent Banking,,Adama,Ethiopia,230619e50a37f0d0,,INV0037210,Completed
TX00000010,2023-06-23T17:30:44.129766,ACC0145028,ACC0071788,26639,EUR,1651618,Transfer,Branch,DEV0083795,Addis Ababa,Ethiopia,11e067130b055434,REF00000010,,Pending
